Date,Visiting,Home,Initial Call,Challenging Team,Result,Placeholder,Outcome,Period,Time,Link
4/24/23,MIL,MIA,Defensive Foul,MIL,Challenge,,Won,2,01:52.0,https://videos.nba.com/nba/official-replay/media/trigger16_milmia_1_042423_approved_1280x720.mp4
4/24/23,MIL,MIA,Loose Ball Foul,MIA,Challenge,,Lost,4,00:20.6,https://videos.nba.com/nba/official-replay/media/trigger16_milmia_2_042423_approved_1280x720.mp4
4/24/23,MEM,LAL,Home Team Possession,MEM,Challenge,,Lost,2,06:56.0,https://videos.nba.com/nba/official-replay/media/trigger17_memlal_1_042423_approved_1280x720.mp4
4/24/23,MEM,LAL,Defensive Foul,LAL,Challenge,,Won,2,06:22.0,https://videos.nba.com/nba/official-replay/media/trigger16_memlal_1_042423_approved_1280x720.mp4
4/25/23,ATL,BOS,Away Team Possession,BOS,Challenge,,Won,3,00:40.1,https://videos.nba.com/nba/official-replay/media/trigger17_atlbos_1_042523_approved_1280x720.mp4
4/25/23,ATL,BOS,Defensive Foul,ATL,Challenge,,Lost,4,00:07.3,https://videos.nba.com/nba/official-replay/media/trigger16_atlbos_1_042523_approved_1280x720.mp4
4/25/23,MIN,DEN,Defensive Foul,DEN,Challenge,,Lost,4,06:40.0,https://videos.nba.com/nba/official-replay/media/trigger16_minden_1_042523_approved_1280x720.mp4
4/25/23,LAC,PHX,Goaltending,LAC,Challenge,,Won,3,08:57.0,https://videos.nba.com/nba/official-replay/media/trigger18_lacphx_1_042523_approved_1280x720.mp4
4/26/23,MIA,MIL,Offensive Foul,MIL,Challenge,,Lost,1,08:31.0,https://videos.nba.com/nba/official-replay/media/trigger16_miamil_1_042623_approved_1280x720.mp4
4/26/23,MIA,MIL,Defensive Foul,MIA,Challenge,,Won,4,00:06.0,https://videos.nba.com/nba/official-replay/media/trigger16_miamil_2_042623_approved_1280x720.mp4
4/26/23,GSW,SAC,Offensive Foul,GSW,Challenge,,Lost,4,01:11.0,https://videos.nba.com/nba/official-replay/media/trigger16_gswsac_1_042623_approved_1280x720.mp4
4/27/23,BOS,ATL,Home Team Possession,BOS,Challenge,,Lost,4,04:32.0,https://videos.nba.com/nba/official-replay/media/trigger17_bosatl_1_042723_approved_1280x720.mp4
4/29/23,PHX,DEN,Offensive Foul,PHX,Challenge,,Won,1,00:55.4,https://videos.nba.com/nba/official-replay/media/trigger16_phxden_1_042923_approved_1280x720.mp4
5/1/23,PHX,DEN,Defensive Foul,PHX,Challenge,,Lost,3,01:51.0,https://videos.nba.com/nba/official-replay/media/trigger16_phxden_1_050123_approved_1280x720.mp4
5/4/23,LAL,GSW,Offensive Foul,GSW,Challenge,,Won,2,02:51.0,https://videos.nba.com/nba/official-replay/media/trigger16_lalgsw_1_050423_approved_1280x720.mp4
5/4/23,LAL,GSW,Defensive Foul,LAL,Challenge,,Lost,3,00:03.7,https://videos.nba.com/nba/official-replay/media/trigger16_lalgsw_2_050423_approved_1280x720.mp4
5/5/23,BOS,PHI,Defensive Foul,BOS,Challenge,,Lost,3,07:54.0,https://videos.nba.com/nba/official-replay/media/trigger16_bosphi_1_050523_approved_1280x720.mp4
5/5/23,DEN,PHX,Defensive Foul,DEN,Challenge,,Lost,4,08:49.0,https://videos.nba.com/nba/official-replay/media/trigger16_denphx_1_050523_approved_1280x720.mp4
5/6/23,NYK,MIA,Offensive Foul,MIA,Challenge,,Won,3,02:00.0,https://videos.nba.com/nba/official-replay/media/trigger16_nykmia_1_050623_approved_1280x720.mp4
5/6/23,GSW,LAL,Offensive Foul,LAL,Challenge,,Won,2,03:32.0,https://videos.nba.com/nba/official-replay/media/trigger16_gswlal_1_050623_approved_1280x720.mp4
5/6/23,GSW,LAL,Defensive Foul,GSW,Challenge,,Lost,3,09:27.0,https://videos.nba.com/nba/official-replay/media/trigger16_gswlal_2_050623_approved_1280x720.mp4
5/7/23,BOS,PHI,Offensive Foul,PHI,Challenge,,Lost,5,01:50.0,https://videos.nba.com/nba/official-replay/media/trigger16_bosphi_1_050723_approved_1280x720.mp4
5/7/23,DEN,PHX,Home Team Possession,DEN,Challenge,,Won,4,00:45.4,https://videos.nba.com/nba/official-replay/media/trigger17_denphx_1_050723_approved_1280x720.mp4
5/8/23,NYK,MIA,Defensive Foul,NYK,Challenge,,Won,3,07:21.0,https://videos.nba.com/nba/official-replay/media/trigger16_nykmia_1_050823_approved_1280x720.mp4
5/8/23,GSW,LAL,Defensive Foul,LAL,Challenge,,Lost,2,00:07.5,https://videos.nba.com/nba/official-replay/media/trigger16_gswlal_1_050823_approved_1280x720.mp4
5/8/23,GSW,LAL,Home Team Possession,GSW,Challenge,,Lost,4,00:01.7,https://videos.nba.com/nba/official-replay/media/trigger17_gswlal_1_050823_approved_1280x720.mp4
5/9/23,PHX,DEN,Home Team Possession,PHX,Challenge,,Won,3,05:36.0,https://videos.nba.com/nba/official-replay/media/trigger17_phxden_1_050923_approved_1280x720.mp4
5/11/23,BOS,PHI,Away Team Possession,PHI,Challenge,,Won,4,05:25.0,https://videos.nba.com/nba/official-replay/media/trigger17_bosphi_1_051123_approved_1280x720.mp4
5/11/23,BOS,PHI,Defensive Foul,BOS,Challenge,,Won,4,02:11.0,https://videos.nba.com/nba/official-replay/media/trigger16_bosphi_1_051123_approved_1280x720.mp4
5/14/23,PHI,BOS,Goaltending,BOS,Challenge,,Lost,4,09:00.0,https://videos.nba.com/nba/official-replay/media/trigger18_phibos_1_051423_approved_1280x720.mp4
5/16/23,LAL,DEN,Defensive Foul,DEN,Challenge,,Won,4,07:02.0,https://videos.nba.com/nba/official-replay/media/trigger16_lalden_1_051623_approved_1280x720.mp4
5/16/23,LAL,DEN,Defensive Foul,LAL,Challenge,,Lost,4,05:48.0,https://videos.nba.com/nba/official-replay/media/trigger16_lalden_2_051623_approved_1280x720.mp4
5/19/23,MIA,BOS,Offensive Foul,MIA,Challenge,,Lost,4,04:06.0,https://videos.nba.com/nba/official-replay/media/trigger16_miabos_1_051923_approved_1280x720.mp4
5/20/23,DEN,LAL,Defensive Foul,DEN,Challenge,,Lost,3,07:24.0,https://videos.nba.com/nba/official-replay/media/trigger16_denlal_1_052023_approved_1280x720.mp4
5/20/23,DEN,LAL,Loose Ball Foul,LAL,Challenge,,Lost,4,03:48.0,https://videos.nba.com/nba/official-replay/media/trigger16_denlal_2_052023_approved_1280x720.mp4
5/21/23,BOS,MIA,Offensive Foul,BOS,Challenge,,Won,1,00:15.1,https://videos.nba.com/nba/official-replay/media/trigger16_bosmia_1_052123_approved_1280x720.mp4
5/25/23,MIA,BOS,Offensive Foul,BOS,Challenge,,Won,4,07:59.0,https://videos.nba.com/nba/official-replay/media/trigger16_miabos_1_052523_approved_1280x720.mp4
5/27/23,BOS,MIA,Defensive Foul,MIA,Challenge,,Won,3,11:19.0,https://videos.nba.com/nba/official-replay/media/trigger16_bosmia_1_052723_approved_1280x720.mp4
5/27/23,BOS,MIA,Defensive Foul,BOS,Challenge,,Lost,4,00:03.0,https://videos.nba.com/nba/official-replay/media/trigger16_bosmia_2_052723_approved_1280x720.mp4
6/12/23,MIA,DEN,Defensive Foul,DEN,Challenge,,Lost,4,03:21.0,https://videos.nba.com/nba/official-replay/media/trigger16_miaden_1_061223_approved_1280x720.mp4
