Date,Visiting,Home,Initial Call,Challenging Team,Result,Placeholder,Outcome,Period,Time,Link
4/11/23,MIN,LAL,Defensive Foul,LAL,Challenge,,Won,3,09:22.0,https://videos.nba.com/nba/official-replay/media/trigger16_minlal_1_041123_approved_1280x720.mp4
4/12/23,CHI,TOR,Loose Ball Foul,TOR,Challenge,,Won,4,01:34.0,https://videos.nba.com/nba/official-replay/media/trigger16_chitor_1_041223_approved_1280x720.mp4
4/14/23,CHI,MIA,Defensive Foul,CHI,Challenge,,Lost,4,00:40.7,https://videos.nba.com/nba/official-replay/media/trigger16_chimia_1_041423_approved_1280x720.mp4
4/14/23,OKC,MIN,Away Team Possession,MIN,Challenge,,Won,2,07:01.0,https://videos.nba.com/nba/official-replay/media/trigger17_okcmin_1_041423_approved_1280x720.mp4
4/15/23,ATL,BOS,Defensive Foul,BOS,Challenge,,Won,4,01:43.0,https://videos.nba.com/nba/official-replay/media/trigger16_atlbos_1_041523_approved_1280x720.mp4
4/15/23,GSW,SAC,Defensive Foul,SAC,Challenge,,Lost,4,08:16.0,https://videos.nba.com/nba/official-replay/media/trigger16_gswsac_1_041523_approved_1280x720.mp4
4/15/23,GSW,SAC,Defensive Foul,GSW,Challenge,,Won,4,01:09.0,https://videos.nba.com/nba/official-replay/media/trigger16_gswsac_2_041523_approved_1280x720.mp4
4/16/23,MIA,MIL,Offensive Foul,MIL,Challenge,,Lost,1,04:46.0,https://videos.nba.com/nba/official-replay/media/trigger16_miamil_1_041623_approved_1280x720.mp4
4/16/23,MIA,MIL,Defensive Foul,MIA,Challenge,,Lost,4,04:39.0,https://videos.nba.com/nba/official-replay/media/trigger16_miamil_2_041623_approved_1280x720.mp4
4/16/23,MIN,DEN,Defensive Foul,MIN,Challenge,,Lost,3,08:39.0,https://videos.nba.com/nba/official-replay/media/trigger16_minden_1_041623_approved_1280x720.mp4
4/16/23,MIN,DEN,Defensive Foul,DEN,Challenge,,Lost,4,06:37.0,https://videos.nba.com/nba/official-replay/media/trigger16_minden_2_041623_approved_1280x720.mp4
4/17/23,GSW,SAC,Offensive Foul,GSW,Challenge,,Won,4,10:44.0,https://videos.nba.com/nba/official-replay/media/trigger16_gswsac_1_041723_approved_1280x720.mp4
4/19/23,MIN,DEN,Defensive Foul,MIN,Challenge,,Won,2,02:37.0,https://videos.nba.com/nba/official-replay/media/trigger16_minden_1_041923_approved_1280x720.mp4
4/20/23,PHI,BKN,Defensive Foul,PHI,Challenge,,Lost,4,00:39.0,https://videos.nba.com/nba/official-replay/media/trigger16_phibkn_1_042023_approved_1280x720.mp4
4/20/23,PHX,LAC,Defensive Foul,LAC,Challenge,,Won,3,10:05.0,https://videos.nba.com/nba/official-replay/media/trigger16_phxlac_1_042023_approved_1280x720.mp4
4/20/23,PHX,LAC,Defensive Foul,PHX,Challenge,,Won,4,09:03.0,https://videos.nba.com/nba/official-replay/media/trigger16_phxlac_2_042023_approved_1280x720.mp4
4/21/23,DEN,MIN,Away Team Possession,MIN,Challenge,,Lost,4,03:02.0,https://videos.nba.com/nba/official-replay/media/trigger17_denmin_1_042123_approved_1280x720.mp4
4/22/23,MIL,MIA,Offensive Foul,MIL,Challenge,,Won,3,05:30.0,https://videos.nba.com/nba/official-replay/media/trigger16_milmia_1_042223_approved_1280x720.mp4
4/22/23,MEM,LAL,Defensive Foul,LAL,Challenge,,Won,3,02:45.0,https://videos.nba.com/nba/official-replay/media/trigger16_memlal_1_042223_approved_1280x720.mp4
4/22/23,MEM,LAL,Defensive Foul,MEM,Challenge,,Lost,4,01:39.0,https://videos.nba.com/nba/official-replay/media/trigger16_memlal_2_042223_approved_1280x720.mp4
4/23/23,SAC,GSW,Offensive Foul,GSW,Challenge,,Lost,4,02:14.0,https://videos.nba.com/nba/official-replay/media/trigger16_sacgsw_1_042323_approved_1280x720.mp4
4/23/23,BOS,ATL,Defensive Foul,ATL,Challenge,,Won,2,00:03.5,https://videos.nba.com/nba/official-replay/media/trigger16_bosatl_1_042323_approved_1280x720.mp4
4/23/23,DEN,MIN,Offensive Foul,DEN,Challenge,,Won,5,04:05.0,https://videos.nba.com/nba/official-replay/media/trigger16_denmin_1_042323_approved_1280x720.mp4
4/23/23,DEN,MIN,Defensive Foul,MIN,Challenge,,Won,5,02:10.0,https://videos.nba.com/nba/official-replay/media/trigger16_denmin_2_042323_approved_1280x720.mp4
