Date,Visiting,Home,Initial Call,Challenging Team,Result,Placeholder,Outcome,Period,Time,Link
6/15/21,MIL,BKN,Defensive Foul,MIL,Unsuccessful,,4,01:27.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_milbkn_1_061521,
6/16/21,ATL,PHI,Defensive Foul,ATL,Unsuccessful,,3,04:57.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_atlphi_1_061621,
6/18/21,PHI,ATL,Offensive Foul,PHI,Unsuccessful,,4,04:04.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_phiatl_1_061821,
6/18/21,UTA,LAC,Defensive Foul,LAC,Unsuccessful,,2,07:18.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_utalac_1_061821,
6/22/21,LAC,PHX,Defensive Foul,PHX,Unsuccessful,,1,04:42.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_lacphx_1_062221,
6/25/21,ATL,MIL,Offensive Foul,MIL,Unsuccessful,,3,00:07.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_atlmil_1_062521,
6/26/21,PHX,LAC,Defensive Foul,LAC,Successful,,4,01:06.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_phxlac_1_062621,
6/28/21,LAC,PHX,Defensive Foul,PHX,Unsuccessful,,4,03:05.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_lacphx_1_062821,
6/30/21,PHX,LAC,Defensive Foul,PHX,Unsuccessful,,3,11:37.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_phxlac_1_063021,
7/11/21,PHX,MIL,Defensive Foul,MIL,Unsuccessful,,3,07:54.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_phxmil_1_071121,
7/17/21,MIL,PHX,Defensive Foul,PHX,Unsuccessful,,4,05:45.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_milphx_1_071721,
7/20/21,PHX,MIL,Home Team Ball,PHX,Successful,,4,09:45.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger17_phxmil_1_072021,
,,,,,,,,,,
