Date,Visiting,Home,Initial Call,Challenging Team,Result,Placeholder,Outcome,Period,Time,Link
10/19/21,GSW,LAL,Home Team Possession,GSW,Challenge,,Won,4,04:21.0,https://videos.nba.com/nba/official-replay/media/trigger17_gswlal_1_101921_approved_1280x720.mp4
10/20/21,WAS,TOR,Defensive Foul,WAS,Challenge,,Won,4,01:06.0,https://videos.nba.com/nba/official-replay/media/trigger16_wastor_1_102021_approved_1280x720.mp4
10/20/21,ORL,SAS,Defensive Foul,ORL,Challenge,,Won,3,08:32.0,https://videos.nba.com/nba/official-replay/media/trigger16_orlsas_1_102021_approved_1280x720.mp4
10/20/21,SAC,POR,Defensive Foul,POR,Challenge,,Lost,4,01:52.0,https://videos.nba.com/nba/official-replay/media/trigger16_sacpor_2_102021_approved_1280x720.mp4
10/21/21,MIL,MIA,Offensive Foul,MIL,Challenge,,Won,2,08:28.0,https://videos.nba.com/nba/official-replay/media/trigger16_milmia_1_102121_approved_1280x720.mp4
10/21/21,MIL,MIA,Defensive Foul,MIA,Challenge,,Won,3,01:25.0,https://videos.nba.com/nba/official-replay/media/trigger16_milmia_2_102121_approved_1280x720.mp4
10/22/21,OKC,HOU,Goaltending,HOU,Challenge,,Won,2,08:44.0,https://videos.nba.com/nba/official-replay/media/trigger18_okchou_1_102221_approved_1280x720.mp4
10/22/21,TOR,BOS,Defensive Foul,BOS,Challenge,,Won,4,09:13.0,https://videos.nba.com/nba/official-replay/media/trigger16_torbos_1_102221_approved_1280x720.mp4
10/22/21,PHX,LAL,Defensive Foul,LAL,Challenge,,Lost,2,10:35.0,https://videos.nba.com/nba/official-replay/media/trigger16_phxlal_1_102221_approved_1280x720.mp4
10/22/21,PHX,LAL,Defensive Foul,PHX,Challenge,,Lost,4,05:15.0,https://videos.nba.com/nba/official-replay/media/trigger16_phxlal_2_102221_approved_1280x720.mp4
10/23/21,ATL,CLE,Defensive Foul,CLE,Challenge,,Lost,4,01:17.0,https://videos.nba.com/nba/official-replay/media/trigger16_atlcle_1_102321_approved_1280x720.mp4
10/23/21,DAL,TOR,Home Team Possession,DAL,Challenge,,Won,3,05:54.0,https://videos.nba.com/nba/official-replay/media/trigger17_daltor_1_102321_approved_1280x720.mp4
10/23/21,NOP,MIN,Away Team Possession,MIN,Challenge,,Won,3,02:13.0,https://videos.nba.com/nba/official-replay/media/trigger17_nopmin_1_102321_approved_1280x720.mp4
10/24/21,BOS,HOU,Away Team Possession,HOU,Challenge,,Lost,4,01:54.0,https://videos.nba.com/nba/official-replay/media/trigger17_boshou_1_102421_approved_1280x720.mp4
10/24/21,ORL,NYK,Defensive Foul,ORL,Challenge,,Lost,4,00:57.6,https://videos.nba.com/nba/official-replay/media/trigger16_orlnyk_1_102421_approved_1280x720.mp4
10/24/21,GSW,SAC,Defensive Foul,GSW,Challenge,,Won,4,00:59.6,https://videos.nba.com/nba/official-replay/media/trigger16_gswsac_1_102421_approved_1280x720.mp4
10/24/21,MEM,LAL,Defensive Foul,LAL,Challenge,,Won,4,00:57.6,https://videos.nba.com/nba/official-replay/media/trigger16_memlal_1_102421_approved_1280x720.mp4
10/24/21,MEM,LAL,Defensive Foul,MEM,Challenge,,Won,4,00:49.0,https://videos.nba.com/nba/official-replay/media/trigger16_memlal_2_102421_approved_1280x720.mp4
10/25/21,BOS,CHA,Away Team Possession,CHA,Challenge,,Won,4,05:28.0,https://videos.nba.com/nba/official-replay/media/trigger17_boscha_1_102521_approved_1280x720.mp4
10/25/21,CHI,TOR,Away Team Possession,TOR,Challenge,,Lost,4,00:11.3,https://videos.nba.com/nba/official-replay/media/trigger17_chitor_1_102521_approved_1280x720.mp4
10/25/21,NOP,MIN,Defensive Foul,MIN,Challenge,,Lost,4,08:55.0,https://videos.nba.com/nba/official-replay/media/trigger16_nopmin_1_102521_approved_1280x720.mp4
10/26/21,GSW,OKC,Defensive Foul,OKC,Challenge,,Won,1,00:51.9,https://videos.nba.com/nba/official-replay/media/trigger16_gswokc_1_102621_approved_1280x720.mp4
10/26/21,HOU,DAL,Defensive Foul,HOU,Challenge,,Won,2,09:13.0,https://videos.nba.com/nba/official-replay/media/trigger16_houdal_1_102621_approved_1280x720.mp4
10/26/21,PHI,NYK,Defensive Foul,PHI,Challenge,,Lost,4,04:23.0,https://videos.nba.com/nba/official-replay/media/trigger16_phinyk_1_102621_approved_1280x720.mp4
10/26/21,HOU,DAL,Defensive Foul,DAL,Challenge,,Lost,4,11:46.0,https://videos.nba.com/nba/official-replay/media/trigger16_houdal_2_102621_approved_1280x720.mp4
10/26/21,DEN,UTA,Defensive Foul,UTA,Challenge,,Won,3,05:28.0,https://videos.nba.com/nba/official-replay/media/trigger16_denuta_1_102621_approved_1280x720.mp4
10/27/21,IND,TOR,Defensive Foul,IND,Challenge,,Lost,1,00:20.3,https://videos.nba.com/nba/official-replay/media/trigger16_indtor_1_102721_approved_1280x720.mp4
