Date,Visiting,Home,Initial Call,Challenging Team,Result,Placeholder,Outcome,Period,Time,Link
12/22/2020,LAC,LAL,Offensive Foul,LAL,Challenge,,Won,2,00:53.3,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_laclal_1_122220
12/22/2020,LAC,LAL,Shooting Foul,LAC,Challenge,,Won,3,04:33.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_laclal_2_122220
12/23/2020,NYK,IND,Defensive Foul,IND,Challenge,,Lost,1,00:02.5,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_nykind_1_122320
12/23/2020,WAS,PHI,Offensive Foul,WAS,Challenge,,Lost,2,05:57.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_wasphi_1_122320
12/23/2020,MIA,ORL,Defensive Foul,ORL,Challenge,,Won,4,08:11.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_miaorl_1_122320
12/23/2020,CHA,CLE,Defensive Foul,CHA,Challenge,,Won,4,00:23.3,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_chacle_1_122320
12/23/2020,ATL,CHI,Defensive Foul,ATL,Challenge,,Won,3,10:30.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_atlchi_1_122320
12/23/2020,NOP,TOR,Defensive Foul,TOR,Challenge,,Lost,4,01:16.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_noptor_1_122320
12/23/2020,SAS,MEM,Defensive Foul,MEM,Challenge,,Lost,4,01:25.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_sasmem_1_122320
12/23/2020,UTA,POR,Defensive Foul,POR,Challenge,,Lost,1,11:30.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_utapor_1_122320
12/23/2020,SAC,DEN,Offensive Foul,DEN,Challenge,,Lost,4,01:36.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_sacden_1_122320
12/23/2020,DAL,PHX,Defensive Foul,PHX,Challenge,,Lost,3,01:10.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_dalphx_1_122320
12/23/2020,DAL,PHX,Defensive Foul,DAL,Challenge,,Lost,4,11:21.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_dalphx_2_122320
12/25/2020,BKN,BOS,Defensive Foul,BOS,Challenge,,Lost,4,07:09.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_bknbos_1_122520
12/25/2020,DAL,LAL,Defensive Foul,DAL,Challenge,,Lost,4,03:18.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_dallal_1_122520
12/26/2020,IND,CHI,Personal Foul,CHI,Challenge,,Lost,2,05:29.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_indchi_1_122620
12/26/2020,TOR,SAS,Personal Foul,TOR,Challenge,,Won,3,09:53.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_torsas_1_122620
12/26/2020,PHX,SAC,Personal Foul,PHX,Challenge,,Lost,4,07:35.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_phxsac_1_122620
12/26/2020,HOU,POR,Personal Foul,HOU,Challenge,,Lost,4,00:32.9,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_houpor_1_122620
12/27/2020,ORL,WAS,Personal Foul,ORL,Challenge,,Won,2,03:06.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_orlwas_1_122720
12/27/2020,BKN,CHA,Offensive Foul,BKN,Challenge,,Won,2,00:49.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_bkncha_1_122720
12/27/2020,ORL,WAS,Offensive Foul,WAS,Challenge,,Lost,3,00:14.4,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_orlwas_2_122720
12/27/2020,SAS,NOP,Personal Foul,SAS,Challenge,,Lost,4,03:06.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_sasnop_1_122720
12/27/2020,GSW,CHI,Personal Foul,CHI,Challenge,,Lost,4,00:46.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_gswchi_1_122720
12/27/2020,PHX,SAC,Offensive Foul,SAC,Challenge,,Won,3,04:00.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_phxsac_1_122720
12/28/2020,MEM,BKN,Loose Ball Foul,BKN,Challenge,,Lost,5,00:08.9,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_membkn_1_122820
12/29/2020,TOR,PHI,Personal Foul,TOR,Challenge,,Won,3,04:22.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_torphi_1_122920
12/29/2020,NYK,CLE,Home Team Possession,NYK,Challenge,,Won,4,06:51.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger17_nykcle_1_122920
12/29/2020,GSW,DET,Personal Foul,DET,Challenge,,Won,4,08:07.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_gswdet_1_122920
12/29/2020,ORL,OKC,Offensive Foul,ORL,Challenge,,Won,4,07:39.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_orlokc_1_122920
12/29/2020,NOP,PHX,Offensive Foul,PHX,Challenge,,Won,2,01:02.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_nopphx_1_122920
12/30/2020,POR,LAC,Defensive Foul,LAC,Challenge,,Lost,2,10:03.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_porlac_1_123020
12/30/2020,CHA,DAL,Home Team Possession,CHA,Challenge,,Won,4,03:40.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger17_chadal_1_123020
12/31/2020,CLE,IND,Home Team Possession,CLE,Challenge,,Won,3,10:25.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger17_cleind_1_123120
12/31/2020,CLE,IND,Defensive Foul,IND,Challenge,,Won,3,02:55.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_cleind_1_123120
12/31/2020,NOP,OKC,Personal Foul,OKC,Challenge,,Lost,1,11:08.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_nopokc_1_123120
12/31/2020,SAC,HOU,Personal Foul,HOU,Challenge,,Won,4,10:40.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_sachou_1_123120
12/31/2020,PHX,UTA,Personal Foul,PHX,Challenge,,Lost,3,05:57.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_phxuta_1_123120
01/01/2021,BOS,DET,Offensive Foul,BOS,Challenge,,Lost,3,03:33.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_bosdet_1_010121
01/01/2021,MIA,DAL,Personal Foul,MIA,Challenge,,Lost,3,02:07.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_miadal_1_010121
01/01/2021,MEM,CHA,Personal Foul,CHA,Challenge,,Won,4,10:19.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_memcha_1_010121
01/01/2021,PHX,DEN,Offensive Foul,DEN,Challenge,,Lost,3,02:01.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_phxden_1_010121
01/01/2021,LAC,UTA,Personal Foul,LAC,Challenge,,Lost,4,00:20.4,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_lacuta_1_010121
01/01/2021,PHX,DEN,Personal Foul,PHX,Challenge,,Won,4,00:31.8,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_phxden_2_010121
01/02/2021,SAC,HOU,Personal Foul,HOU,Challenge,,Won,3,05:39.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_sachou_1_010221
01/02/2021,SAC,HOU,Personal Foul,SAC,Challenge,,Won,4,05:44.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_sachou_2_010221
01/02/2021,OKC,ORL,Personal Foul,OKC,Challenge,,Lost,4,09:37.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_okcorl_1_010221
01/02/2021,TOR,NOP,Defensive Foul,NOP,Challenge,,Lost,3,05:25.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_tornop_1_010221
01/02/2021,CHA,PHI,Shooting Foul,PHI,Challenge,,Won,4,05:01.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_chaphi_1_010221
01/02/2021,TOR,NOP,Personal Foul,TOR,Challenge,,Won,4,02:04.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_tornop_2_010221
01/03/2021,BOS,DET,Away Team Possession,DET,Challenge,,Won,4,02:28.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger17_bosdet_2_010321
01/03/2021,DEN,MIN,Personal Foul,MIN,Challenge,,Won,1,09:02.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_denmin_1_010321
01/03/2021,LAL,MEM,Home Team Possession,LAL,Challenge,,Won,4,08:27.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger17_lalmem_1_010321
01/03/2021,POR,GSW,Offensive Foul,POR,Challenge,,Lost,1,05:54.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_porgsw_1_010321
01/03/2021,LAC,PHX,Personal Foul,LAC,Challenge,,Lost,4,03:31.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_lacphx_1_010321
01/03/2021,DAL,CHI,Personal Foul,DAL,Challenge,,Lost,4,03:18.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_dalchi_1_010321
01/04/2021,IND,NOP,Personal Foul,IND,Challenge,,Lost,1,04:35.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_indnop_1_010421
01/04/2021,CLE,ORL,Personal Foul,CLE,Challenge,,Won,4,09:09.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_cleorl_1_010421
01/04/2021,NYK,ATL,Personal Foul,ATL,Challenge,,Lost,4,03:52.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_nykatl_1_010421
01/04/2021,BOS,TOR,Personal Foul,TOR,Challenge,,Lost,4,02:03.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_bostor_1_010421
01/04/2021,DAL,HOU,Personal Foul,HOU,Challenge,,Lost,4,03:45.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_dalhou_1_010421
01/04/2021,DAL,HOU,Personal Foul,DAL,Challenge,,Lost,4,01:08.0,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_dalhou_2_010421
